goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,season,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,2,0.563755989,90,FWR,Luton,Liverpool,1,1,2023-11-05,2023,0.970745921,0,3,0,0.563755989,1.510582924,0.042545382
1,3,0.185812473,90,FWR,Liverpool,Nottingham Forest,3,0,2023-10-29,2023,0.160022691,0,2,1,0.185812473,1.127517462,0.903952241
2,4,1.314594626,90,FWR,Liverpool,Everton,2,0,2023-10-21,2023,0.076501109,0,3,1,0.553499997,0.821339726,0.220140532
2,5,1.51772356,90,FWR,Brighton,Liverpool,2,2,2023-10-08,2023,0.057653707,0,1,1,0.756554723,0.859319627,0.045111205
0,1,0.02260302,81,FWR,Tottenham,Liverpool,2,1,2023-09-30,2023,0.626958251,0,2,0,0.02260302,0.677334428,0.562088609
1,5,1.002189398,90,FWR,Liverpool,West Ham,3,1,2023-09-24,2023,0.948169529,0,2,0,0.241020605,1.212869167,0.458871871
0,1,0.069669619,90,FWR,Wolverhampton Wanderers,Liverpool,1,3,2023-09-16,2023,1.531726956,2,5,0,0.069669619,2.232311726,0.703751981
1,4,0.786287427,90,FWR,Liverpool,Aston Villa,3,0,2023-09-03,2023,0.732482195,0,2,1,0.786287427,1.00058794,0.520201623
0,2,0.157831535,90,FWR,Newcastle United,Liverpool,1,2,2023-08-27,2023,0.369876146,1,2,0,0.157831535,0.527707696,0
1,5,1.899014831,90,FWR,Liverpool,Bournemouth,3,1,2023-08-19,2023,0.051902682,0,2,1,1.137845993,0.501648188,0
0,3,0.207876608,84,FWR,Chelsea,Liverpool,1,1,2023-08-13,2023,0.394951224,1,1,0,0.207876608,0.697434366,0.094606549
0,8,1.418127656,90,FWR,Southampton,Liverpool,4,4,2023-05-28,2022,0.344739795,1,2,0,1.418127656,1.784089446,0.158363923
0,2,0.089303784,90,FWR,Liverpool,Aston Villa,1,1,2023-05-20,2022,0.56863749,1,1,0,0.089303784,0.089303784,0
0,5,0.826393366,90,FWR,Leicester,Liverpool,0,3,2023-05-15,2022,0.549301744,3,4,0,0.826393366,1.413774133,0.038079005
1,3,1.024654984,90,FWR,Liverpool,Brentford,1,0,2023-05-06,2022,0.281746268,0,3,1,1.024654984,0.365592957,0.083846688
1,3,1.177306414,85,FWR,Liverpool,Fulham,1,0,2023-05-03,2022,0.166046992,0,2,0,0.416137576,0.710179031,0.439773619
1,3,0.916294932,90,FWR,Liverpool,Tottenham,4,3,2023-04-30,2022,0,0,0,0,0.15512611,1.078234315,1.013684273
0,3,0.100331016,90,FWR,West Ham,Liverpool,1,2,2023-04-26,2022,0.070485264,0,1,0,0.100331016,0.828447282,0.65763104
1,3,0.636821032,90,FWR,Liverpool,Nottingham Forest,3,2,2023-04-22,2022,0.123797201,0,2,1,0.636821032,0.123797201,0
2,3,0.526161015,83,FWR,Leeds,Liverpool,1,6,2023-04-17,2022,0,0,0,2,0.526161015,1.66099,1.134829998
1,10,2.65602994,90,FWR,Liverpool,Arsenal,2,2,2023-04-09,2022,0.352512985,0,2,1,1.894860029,2.684259892,0.456912011
0,0,0,22,Sub,Chelsea,Liverpool,0,0,2023-04-04,2022,0,0,0,0,0,0,0
1,2,0.175053999,72,FWR,Manchester City,Liverpool,4,1,2023-04-01,2022,0.079177998,0,1,1,0.175053999,0.318170995,0.063939497
0,2,0.829308987,90,FWR,Bournemouth,Liverpool,1,0,2023-03-11,2022,0,0,0,0,0.068140499,0.388054013,0.319913
2,3,0.622488022,90,FWR,Liverpool,Manchester United,7,0,2023-03-05,2022,0.542257011,2,3,2,0.622488022,1.849529982,0.684781015
1,2,0.712597013,90,FWR,Liverpool,Wolverhampton Wanderers,2,0,2023-03-01,2022,0.107428998,0,1,1,0.712597013,0.909469008,0.196871996
0,3,0.265388995,90,FWR,Crystal Palace,Liverpool,0,0,2023-02-25,2022,0.464919001,0,3,0,0.265388995,0.730307996,0
0,2,0.167750001,90,FWR,Newcastle United,Liverpool,0,2,2023-02-18,2022,0.573321998,1,1,0,0.167750001,0.999373019,0.346002996
1,6,0.95984298,90,FWR,Liverpool,Everton,2,0,2023-02-13,2022,0.092918001,0,1,1,0.95984298,1.007470012,0.226520002
0,2,0.171860993,90,FWR,Wolverhampton Wanderers,Liverpool,3,0,2023-02-04,2022,0,0,0,0,0.171860993,0.47527501,0.303413004
0,1,0.056375898,90,FWR,Liverpool,Chelsea,0,0,2023-01-21,2022,0.088834703,0,1,0,0.056375898,0.272673994,0.127462998
0,1,0.034962401,90,FWR,Brighton,Liverpool,3,0,2023-01-14,2022,0.064734697,0,1,0,0.034962401,0.482192993,0.382495999
0,1,0.057170101,90,FWR,Brentford,Liverpool,3,1,2023-01-02,2022,0.814145029,0,2,0,0.057170101,0.871315002,0
0,4,0.746410012,90,FWR,Liverpool,Leicester,2,1,2022-12-30,2022,0.278665006,0,1,0,0.746410012,1.090839982,0.0657681
1,3,1.105389953,90,FWR,Aston Villa,Liverpool,1,3,2022-12-26,2022,0.403378993,1,4,1,1.105389953,0.955226004,0
0,4,0.909489989,90,FWR,Liverpool,Southampton,3,1,2022-11-12,2022,0,0,0,0,0.909489989,1.347139955,0.437646002
2,3,0.999270976,90,FW,Tottenham,Liverpool,1,2,2022-11-06,2022,0,0,0,2,0.999270976,1.024639964,0.0253662
1,7,0.768260002,90,FW,Liverpool,Leeds,1,2,2022-10-29,2022,0.306616992,0,1,1,0.768260002,0.791824996,0.163774997
0,4,0.307518005,90,FW,Nottingham Forest,Liverpool,1,0,2022-10-22,2022,0.061845001,0,1,0,0.307518005,0.307518005,0
0,6,0.536758006,90,MR,Liverpool,West Ham,1,0,2022-10-19,2022,0.047464799,0,1,0,0.536758006,0.599134982,0.0149123
1,3,0.725636005,90,AMC,Liverpool,Manchester City,1,0,2022-10-16,2022,0,0,0,1,0.725636005,0.725636005,0
0,1,0.036747299,75,AMR,Arsenal,Liverpool,3,2,2022-10-09,2022,0.037465598,0,1,0,0.036747299,0.074212901,0
0,5,0.678263009,90,FWR,Liverpool,Brighton,3,3,2022-10-01,2022,0.304859012,1,1,0,0.678263009,0.94906801,0
0,3,0.211981997,90,FWR,Everton,Liverpool,0,0,2022-09-03,2022,0.228722006,0,3,0,0.211981997,0.453628987,0.042714901
0,2,0.0699929,90,FWR,Liverpool,Newcastle United,2,1,2022-08-31,2022,0.421537995,2,6,0,0.0699929,0.279294997,0
0,4,1.741350055,90,FWR,Liverpool,Bournemouth,9,0,2022-08-27,2022,0.127088994,0,2,0,1.741350055,1.921280026,0.100438997
1,3,0.150454998,90,FWR,Manchester United,Liverpool,2,1,2022-08-22,2022,0.231710002,0,4,1,0.150454998,0.88992703,0.605778992
0,3,0.536539972,90,FWR,Liverpool,Crystal Palace,1,1,2022-08-15,2022,0.451757014,0,8,0,0.536539972,0.988295972,0.063672103
1,2,0.391777009,90,FWR,Fulham,Liverpool,2,2,2022-08-06,2022,0.534129024,0,1,1,0.391777009,1.103970051,0.712189019
1,8,1.167490005,27,Sub,Liverpool,Wolverhampton Wanderers,3,1,2022-05-22,2021,0,0,0,1,1.167490005,0.563786983,0.088280402
0,1,0.127544001,15,Sub,Aston Villa,Liverpool,1,2,2022-05-10,2021,0.068857901,0,1,0,0.127544001,0.196401998,0
0,3,0.25395599,90,FWR,Liverpool,Tottenham,1,1,2022-05-07,2021,0.00995028,0,2,0,0.25395599,0.263906002,0
0,2,0.084115297,19,Sub,Newcastle United,Liverpool,0,1,2022-04-30,2021,0.039141499,0,1,0,0.084115297,0.123257004,0.036487099
0,2,0.140634999,90,FWR,Liverpool,Everton,2,0,2022-04-24,2021,0.398611009,1,2,0,0.140634999,0.483413011,0.384541005
2,4,0.943576992,90,FWR,Liverpool,Manchester United,4,0,2022-04-19,2021,0.624746025,1,1,2,0.943576992,1.568320036,0.942354023
0,1,0.059948198,90,FWR,Manchester City,Liverpool,2,2,2022-04-10,2021,0.738005996,1,3,0,0.059948198,0.797954023,0
0,3,0.111507997,71,FWR,Liverpool,Watford,2,0,2022-04-02,2021,0.039138,0,1,0,0.111507997,0.57893002,0.552375972
0,3,0.243064001,34,Sub,Arsenal,Liverpool,0,2,2022-03-16,2021,0,0,0,0,0.243064001,0.214414999,0
1,7,1.34126997,67,FWR,Brighton,Liverpool,0,2,2022-03-12,2021,0.156373993,0,1,0,0.58009702,0.731691003,0.041442599
0,6,0.539533019,80,FWR,Liverpool,West Ham,1,0,2022-03-05,2021,0,0,1,0,0.539533019,0.334428012,0.109894
2,6,2.063760042,90,FWR,Liverpool,Leeds,6,0,2022-02-23,2021,0.537019014,1,1,0,0.541427016,1.67016995,0.591723025
1,8,0.99318099,90,FWR,Liverpool,Norwich,3,1,2022-02-19,2021,0.650976002,0,6,1,0.99318099,1.448400021,0.757390022
0,1,0.071945697,90,FWR,Burnley,Liverpool,0,1,2022-02-13,2021,0.0202583,0,1,0,0.071945697,0.071945697,0
0,4,0.614593029,28,Sub,Liverpool,Leicester,2,0,2022-02-10,2021,0.284595013,0,1,0,0.614593029,0.899187982,0
1,4,0.858412981,90,FWR,Chelsea,Liverpool,2,2,2022-01-02,2021,0.140015006,0,2,1,0.858412981,0.974542022,0.116130002
0,5,1.922979951,90,FWR,Leicester,Liverpool,1,0,2021-12-28,2021,0.158322006,0,2,0,1.16181004,0.197087005,0
0,2,0.098402701,90,FWR,Tottenham,Liverpool,2,2,2021-12-19,2021,0.084037699,0,3,0,0.098402701,0.164932996,0
1,4,0.864506006,76,FWR,Liverpool,Newcastle United,3,1,2021-12-16,2021,0.126938,0,1,1,0.864506006,1.034940004,0.072953299
1,6,1.023390055,90,FWR,Liverpool,Aston Villa,1,0,2021-12-11,2021,0,0,0,0,0.262221009,0.966503978,0.704281986
0,2,0.110440999,90,FWR,Wolverhampton Wanderers,Liverpool,0,1,2021-12-04,2021,0.707507014,1,3,0,0.110440999,0.708109021,0.065312698
2,5,1.584900022,90,FWR,Everton,Liverpool,1,4,2021-12-01,2021,0,0,0,2,1.584900022,1.985309958,0.400402009
0,4,0.218796,90,FWR,Liverpool,Southampton,4,0,2021-11-27,2021,0.835855007,1,2,0,0.218796,0.37845999,0.118531004
1,4,1.119079947,90,FWR,Liverpool,Arsenal,4,0,2021-11-20,2021,0.503996015,0,2,1,1.119079947,2.595989943,0.972913027
0,2,0.155248001,90,FWR,West Ham,Liverpool,3,2,2021-11-07,2021,0.0618884,1,2,0,0.155248001,0.292416006,0.075279497
0,2,0.154183,90,FWR,Liverpool,Brighton,2,2,2021-10-30,2021,0.464136004,1,2,0,0.154183,0.669125974,0.102610998
3,7,2.245759964,90,FWR,Manchester United,Liverpool,0,5,2021-10-24,2021,0.507188976,1,2,3,2.245759964,2.815759897,0.262041986
1,5,0.402015001,90,FWR,Watford,Liverpool,0,5,2021-10-16,2021,0.358848989,1,2,1,0.402015001,1.534350038,0.836794972
1,3,0.243306994,90,FWR,Liverpool,Manchester City,2,2,2021-10-03,2021,0.633975983,1,2,1,0.243306994,0.495429009,0.334434003
1,3,1.069900036,90,FWR,Brentford,Liverpool,3,3,2021-09-25,2021,0.0269881,0,1,1,1.069900036,1.515179992,0.418287992
1,6,0.750883996,90,FWR,Liverpool,Crystal Palace,3,0,2021-09-18,2021,0.149784997,0,2,1,0.750883996,0.634299994,0.358143985
1,3,1.272169948,90,FWR,Leeds,Liverpool,0,3,2021-09-12,2021,0.37073499,0,4,1,1.272169948,2.697949886,1.985100031
1,3,0.924000025,90,FWR,Liverpool,Chelsea,1,1,2021-08-28,2021,0.112694003,0,3,0,0.162830994,0.572821021,0.297295988
0,5,0.350659013,90,FWR,Liverpool,Burnley,2,0,2021-08-21,2021,0.111516997,0,2,0,0.350659013,0.909757018,0.496966988
1,5,0.239133999,90,FWR,Norwich,Liverpool,0,3,2021-08-14,2021,0.868721008,2,3,1,0.239133999,1.069630027,0.100010999
0,6,0.715507984,90,FWR,Liverpool,Crystal Palace,2,0,2021-05-23,2020,0.111643001,1,2,0,0.715507984,0.981341004,0.235832006
0,4,0.891481996,90,FWR,Burnley,Liverpool,0,3,2021-05-19,2020,0.50435102,0,2,0,0.891481996,1.596140027,0.200302005
1,4,0.301122993,90,FWR,West Bromwich Albion,Liverpool,1,2,2021-05-16,2020,0.191800997,0,4,1,0.301122993,0.518688023,0.025763201
1,4,0.614645004,90,FWR,Manchester United,Liverpool,2,4,2021-05-13,2020,0.149876997,0,2,1,0.614645004,1.381229997,0.693430007
0,4,0.588427007,88,FWR,Liverpool,Southampton,2,0,2021-05-08,2020,0.705780983,1,2,0,0.588427007,1.30922997,0.0590147
1,3,0.783955991,90,MR,Liverpool,Newcastle United,1,1,2021-04-24,2020,0.308023006,0,3,1,0.783955991,1.325430036,0.29856199
0,2,0.161596999,18,Sub,Leeds,Liverpool,1,1,2021-04-19,2020,0,0,0,0,0.161596999,0.161596999,0
1,7,1.062909961,90,FWR,Liverpool,Aston Villa,2,1,2021-04-10,2020,0.0658722,0,1,1,1.062909961,1.043159962,0.044010401
1,5,0.792340994,90,FWR,Arsenal,Liverpool,0,3,2021-04-03,2020,0.442286998,0,1,1,0.792340994,2.034029961,0.799404025
0,3,0.22744,90,FWR,Wolverhampton Wanderers,Liverpool,0,1,2021-03-15,2020,0.097327903,0,1,0,0.22744,0.666673005,0.341904998
0,3,0.167501003,90,FW,Liverpool,Fulham,0,1,2021-03-07,2020,0,0,0,0,0.167501003,0.241031006,0.073529802
0,1,0.019067099,63,FWR,Liverpool,Chelsea,0,1,2021-03-04,2020,0.0327437,0,1,0,0.019067099,0.051810801,0
0,3,0.791359007,90,FWR,Sheffield United,Liverpool,0,2,2021-02-28,2020,0.0312391,0,1,0,0.791359007,1.751719952,0.929126024
0,1,0.482450992,90,FWR,Liverpool,Everton,0,2,2021-02-20,2020,0.028156901,0,1,0,0.482450992,0.542216003,0.031607699
1,3,0.437831014,90,FWR,Leicester,Liverpool,3,1,2021-02-13,2020,0.087617204,0,1,1,0.437831014,0.581490993,0.084514998
1,2,0.797859013,90,FWR,Liverpool,Manchester City,1,4,2021-02-07,2020,0,0,0,0,0.036689799,0.036689799,0
0,4,0.802039981,90,FWR,Liverpool,Brighton,0,1,2021-02-03,2020,0,0,0,0,0.802039981,0.802039981,0
2,7,0.81327498,90,FW,West Ham,Liverpool,1,3,2021-01-31,2020,0.0566926,0,1,2,0.81327498,1.458019972,0.644744992
0,1,0.130377993,90,FWR,Tottenham,Liverpool,1,3,2021-01-28,2020,0.40683201,0,2,0,0.130377993,0.903132975,0.709932029
0,2,0.162131995,32,Sub,Liverpool,Burnley,0,1,2021-01-21,2020,0.101599999,0,1,0,0.162131995,0.295904011,0.032172501
0,3,0.172931001,90,FWR,Liverpool,Manchester United,0,0,2021-01-17,2020,0.152346998,0,2,0,0.172931001,0.39339599,0.068117999
0,2,0.388327003,90,FWR,Southampton,Liverpool,1,0,2021-01-04,2020,0.057704199,0,1,0,0.388327003,0.820801973,0.374769986
0,2,0.635441005,90,FWR,Newcastle United,Liverpool,0,0,2020-12-30,2020,0,0,0,0,0.635441005,0.635441005,0.297161996
0,3,0.190787002,90,FWR,Liverpool,West Bromwich Albion,1,1,2020-12-27,2020,0.021702999,0,1,0,0.190787002,0.270996988,0.183879003
2,2,0.362080008,31,Sub,Crystal Palace,Liverpool,0,7,2020-12-19,2020,0.281729013,1,1,2,0.362080008,0.852066994,0.540894985
1,4,0.316554993,90,FWR,Liverpool,Tottenham,2,1,2020-12-16,2020,0.060025498,0,1,1,0.316554993,0.469464004,0.152909994
1,3,0.878633976,87,FWR,Fulham,Liverpool,1,1,2020-12-13,2020,0,0,0,0,0.117466003,0.117466003,0
1,3,0.545813978,90,FWR,Liverpool,Wolverhampton Wanderers,4,0,2020-12-06,2020,0.518568993,1,1,1,0.545813978,0.692818999,0.196863994
0,1,0.077437602,66,FWR,Brighton,Liverpool,1,1,2020-11-28,2020,0.079517901,1,1,0,0.077437602,0.182786003,0.0258302
1,2,0.799009979,90,FW,Manchester City,Liverpool,1,1,2020-11-08,2020,0.089305401,0,3,0,0.037840702,0.127146006,0
1,3,0.904722989,90,FWR,Liverpool,West Ham,2,1,2020-10-31,2020,0.023613701,0,1,0,0.143554002,0.460067987,0.389266014
0,4,0.892639995,90,FW,Liverpool,Sheffield United,2,1,2020-10-24,2020,0.0866552,0,2,0,0.892639995,1.260830045,0.309632003
1,6,0.381321013,90,FWR,Everton,Liverpool,2,2,2020-10-17,2020,0.323888004,0,1,1,0.381321013,1.413910031,0.832697988
2,2,0.582610011,90,FWR,Aston Villa,Liverpool,7,2,2020-10-04,2020,0.670131028,0,3,2,0.582610011,1.500319958,0.247582003
0,4,0.218066007,90,FWR,Liverpool,Arsenal,3,1,2020-09-28,2020,0.376340002,0,2,0,0.218066007,0.589742005,0.411862999
0,4,0.221322,90,FWR,Chelsea,Liverpool,0,2,2020-09-20,2020,0.232611001,0,5,0,0.221322,0.744395971,0.339475989
3,9,1.939829946,90,FWR,Liverpool,Leeds,4,3,2020-09-12,2020,0.232543007,0,4,1,0.417488992,0.755005002,0.225439996
0,3,0.196959004,22,Sub,Newcastle United,Liverpool,1,3,2020-07-26,2019,0.073441803,0,1,0,0.196959004,0.218805,0
0,3,0.255136997,82,FWR,Liverpool,Chelsea,5,3,2020-07-22,2019,0.073448002,1,1,0,0.255136997,0.585178018,0.503728986
0,4,0.852423012,85,FWR,Arsenal,Liverpool,2,1,2020-07-15,2019,0,0,0,0,0.852423012,0.934713006,0.0822898
0,6,1.148929954,90,FWR,Liverpool,Burnley,1,1,2020-07-11,2019,0.336342007,0,3,0,1.148929954,1.15467,0.112288997
2,8,1.873479962,90,FWR,Brighton,Liverpool,1,3,2020-07-08,2019,0.135014996,1,2,2,1.873479962,2.190049887,0.205312997
0,1,0.067565002,90,FWR,Liverpool,Aston Villa,2,0,2020-07-05,2019,0.440308988,1,2,0,0.067565002,0.507874012,0
0,4,0.213327006,90,FWR,Manchester City,Liverpool,4,0,2020-07-02,2019,0.112623997,0,2,0,0.213327006,0.38408801,0.058137
1,5,0.519596994,90,FWR,Liverpool,Crystal Palace,4,0,2020-06-24,2019,0.314794987,1,2,1,0.519596994,1.607759953,0.773366988
1,2,0.138401002,90,FWR,Liverpool,Bournemouth,2,1,2020-03-07,2019,0.660365999,0,3,1,0.138401002,0.816973984,0.107955001
0,2,0.058906499,90,FWR,Watford,Liverpool,3,0,2020-02-29,2019,0,0,0,0,0.058906499,0.083874598,0.0568652
